id,count,hundredBlock,latitude,longitude,neighbourhood
58,2,10XX NICOLA ST,49.2858897,-123.1350458,West End
59,2,10XX PACIFIC BLVD,49.2738964,-123.1164833,Central Business District
60,14,10XX PACIFIC ST,49.2774343,-123.1338618,West End
61,1,10XX POWELL ST,49.2825206,-123.0815251,Strathcona
62,7,10XX QUEBEC ST,49.275472,-123.1015747,Central Business District
63,1,10XX RAYMUR AVE,49.2752698,-123.0821965,Strathcona
64,7,10XX RICHARDS ST,49.2773698,-123.1216657,Central Business District
65,4,10XX ROBSON ST,49.283854,-123.1240778,West End
66,3,10XX SALSBURY DR,49.275289,-123.0675779,Grandview-Woodland
67,1,10XX SCANTLINGS AVE,49.2672685,-123.1288837,Fairview
68,1,10XX SE MARINE DR,49.2105805,-123.0859669,Sunset
69,5,10XX SEYMOUR ST,49.2779857,-123.1226652,Central Business District
70,3,10XX SMITHE ST,49.2832187,-123.1256672,West End
71,2,10XX STATION ST,49.2716091,-123.0980758,Strathcona
72,1,10XX THURLOW ST,49.2820845,-123.1286703,West End
73,1,10XX VERNON DR,49.2754236,-123.0786445,Strathcona
74,2,10XX W 10TH AVE,49.2623248,-123.1278725,Fairview
75,4,10XX W 11TH AVE,49.2613186,-123.1278413,Fairview
76,5,10XX W 12TH AVE,49.2603708,-123.1278372,Fairview
77,1,10XX W 13TH AVE,49.2594448,-123.1278853,Fairview
78,4,10XX W 14TH AVE,49.2585817,-123.1279917,Fairview
79,3,10XX W 15TH AVE,49.2575895,-123.1283317,Fairview
80,2,10XX W 16TH AVE,49.2568405,-123.1286863,Shaughnessy
81,1,10XX W 29TH AVE,49.2452315,-123.1286775,Shaughnessy
82,1,10XX W 32ND AVE,49.2421818,-123.1288402,Shaughnessy
83,1,10XX W 33RD AVE,49.2412556,-123.1289974,Shaughnessy
84,1,10XX W 41ST AVE,49.2337156,-123.1292903,Shaughnessy
85,1,10XX W 43RD AVE,49.2320314,-123.128701,Oakridge
86,1,10XX W 47TH AVE,49.2282411,-123.129916,Oakridge
87,2,10XX W 7TH AVE,49.265016,-123.1279826,Fairview
88,3,10XX W 8TH AVE,49.2641678,-123.1277964,Fairview
89,11,10XX W BROADWAY AVE,49.2631239,-123.127763,Fairview
90,13,10XX W CORDOVA ST,49.288456,-123.1205233,Central Business District
91,23,10XX W GEORGIA ST,49.285038,-123.1224656,West End
92,12,10XX W HASTINGS ST,49.2874479,-123.1187639,Central Business District
93,12,10XX W PENDER ST,49.2869867,-123.1194964,Central Business District
94,2,10XX W WATERFRONT RD,49.2881918,-123.1182378,Central Business District
95,1,10XX WINDERMERE ST,49.2751784,-123.036358,Hastings-Sunrise
96,1,1155A THE CASTINGS ST,49.266796,-123.1307766,Fairview
97,11,11XX ALBERNI ST,49.2857595,-123.1250009,West End
98,6,11XX BARCLAY ST,49.2839235,-123.12844,West End
99,11,11XX BEACH AVE,49.279267,-123.1371239,West End
100,1,11XX BIDWELL ST,49.286884,-123.1392257,West End
101,15,11XX BURNABY ST,49.2802767,-123.1337518,West End
102,9,11XX BURRARD ST,49.2793913,-123.1281739,Central Business District
103,1,11XX CARDERO ST,49.2858332,-123.1377434,West End
104,6,11XX CHESTNUT ST,49.2759644,-123.1461288,Kitsilano
105,2,11XX COMMERCIAL DR,49.274132,-123.069351,Grandview-Woodland
106,3,11XX COMOX ST,49.2823696,-123.1306141,West End
107,1,11XX COTTON DR,49.2740261,-123.0714,Grandview-Woodland
108,20,11XX DAVIE ST,49.2809229,-123.1322677,West End
109,6,11XX DENMAN ST,49.2877879,-123.1407735,West End
110,1,11XX E 11TH AVE,49.2603402,-123.0802116,Mount Pleasant
111,2,11XX E 12TH AVE,49.2594585,-123.0802175,Mount Pleasant
112,1,11XX E 13TH AVE,49.2586202,-123.0803098,Mount Pleasant
113,1,11XX E 14TH AVE,49.2576319,-123.0802936,Mount Pleasant
114,1,11XX E 15TH AVE,49.2566018,-123.0806605,Mount Pleasant
115,1,11XX E 26TH AVE,49.247554,-123.0996707,Kensington-Cedar Cottage
116,1,11XX E 29TH AVE,49.2444658,-123.0810387,Kensington-Cedar Cottage
117,1,11XX E 7TH AVE,49.2639014,-123.0802895,Mount Pleasant
118,8,11XX E BROADWAY AVE,49.2621943,-123.0805054,Mount Pleasant
119,2,11XX E PENDER ST,49.2798578,-123.0800953,Strathcona
120,6,11XX FORGE WALK,49.2670846,-123.1295505,Fairview
121,15,11XX GILFORD ST,49.2885712,-123.142681,West End
122,9,11XX GRANVILLE ST,49.2775206,-123.1252352,Central Business District
123,7,11XX HAMILTON ST,49.2752062,-123.1217392,Central Business District
124,7,11XX HARO ST,49.2844611,-123.1273591,West End
125,8,11XX HARWOOD ST,49.2795552,-123.1347751,West End
126,9,11XX HOMER ST,49.2754967,-123.1224837,Central Business District
127,10,11XX HORNBY ST,49.2787957,-123.1272874,Central Business District
128,18,11XX HOWE ST,49.2783581,-123.1259032,Central Business District
129,4,11XX JERVIS ST,49.2826725,-123.134224,West End
130,1,11XX LAURIER AVE,49.2506964,-123.1298067,Shaughnessy
131,3,11XX MAIN ST,49.2722607,-123.0999643,Central Business District
132,8,11XX MAINLAND ST,49.2749528,-123.1212103,Central Business District
133,1,11XX MAPLE ST,49.2756199,-123.1498905,Kitsilano
134,11,11XX MARINASIDE CRES,49.2723303,-123.1202651,Central Business District
135,13,11XX MELVILLE ST,49.2869717,-123.1234005,Central Business District
136,9,11XX NELSON ST,49.2831442,-123.1297377,West End
137,1,11XX NICOLA ST,49.2847928,-123.1369352,West End
138,5,11XX ODLUM DR,49.2741167,-123.0756186,Grandview-Woodland
139,3,11XX PACIFIC BLVD,49.2741163,-123.1201819,Central Business District
140,8,11XX PACIFIC ST,49.2787429,-123.1355564,West End
141,5,11XX PENDRELL ST,49.2816863,-123.1314493,West End
142,6,11XX QUEBEC ST,49.2747762,-123.1015233,Central Business District
143,1,11XX RAYMUR AVE,49.2747949,-123.082421,Strathcona
144,12,11XX RICHARDS ST,49.2763752,-123.1231633,Central Business District
145,5,11XX ROBSON ST,49.2852966,-123.1262109,West End
146,1,11XX ROSE ST,49.2740544,-123.0627248,Grandview-Woodland
147,1,11XX ROSSLAND ST,49.2748003,-123.045231,Hastings-Sunrise
148,17,11XX SEYMOUR ST,49.277041,-123.1244315,Central Business District
149,8,11XX STATION ST,49.2737759,-123.097836,Strathcona
150,1,11XX THE CASTINGS ST,49.267313,-123.1310036,Fairview
151,2,11XX THURLOW ST,49.2812862,-123.1298305,West End
152,3,11XX VICTORIA DR,49.2743563,-123.0656831,Grandview-Woodland
153,4,11XX W 11TH AVE,49.2613372,-123.1302101,Fairview
154,5,11XX W 12TH AVE,49.2603884,-123.1300561,Fairview
155,4,11XX W 13TH AVE,49.2595601,-123.1302958,Fairview
156,1,11XX W 14TH AVE,49.2583947,-123.1303507,Fairview
157,1,11XX W 15TH AVE,49.2577281,-123.1303831,Fairview
158,1,11XX W 54TH AVE,49.2212336,-123.1318949,Oakridge
159,1,11XX W 55TH AVE,49.2201048,-123.1315549,Oakridge
160,1,11XX W 6TH AVE,49.2661395,-123.1316876,Fairview
161,4,11XX W 7TH AVE,49.2650708,-123.1301552,Fairview
162,2,11XX W 8TH AVE,49.2643362,-123.1300787,Fairview
163,1,11XX W BROADWAY AVE,49.2632625,-123.1301229,Fairview
164,1,11XX W CORDOVA ST,49.288616,-123.1210676,Central Business District
165,20,11XX W GEORGIA ST,49.2862724,-123.1244521,West End
166,20,11XX W HASTINGS ST,49.2879169,-123.1205009,Central Business District
167,24,11XX W PENDER ST,49.2853192,-123.1154022,Central Business District
168,6,12XX ALBERNI ST,49.2869132,-123.1268173,West End
169,1,12XX ARBUTUS ST,49.2748522,-123.1526119,Kitsilano
170,4,12XX BARCLAY ST,49.2850557,-123.1302112,West End
171,7,12XX BEACH AVE,49.2805155,-123.138341,West End
172,10,12XX BIDWELL ST,49.285327,-123.1412724,West End
173,7,12XX BROUGHTON ST,49.2833303,-123.1368685,West End
174,16,12XX BURNABY ST,49.2814705,-123.1356081,West End
175,11,12XX BURRARD ST,49.2783221,-123.1298375,Central Business District
176,5,12XX BUTE ST,49.2810876,-123.1339366,West End
177,7,12XX CARDERO ST,49.2844653,-123.1398099,West End
178,4,12XX CARTWRIGHT ST,49.2693872,-123.132713,Fairview
179,6,12XX COMOX ST,49.2835752,-123.1324099,West End
180,8,12XX DAVIE ST,49.2822754,-123.1343926,West End
181,2,12XX DENMAN ST,49.2869048,-123.1423579,West End
182,2,12XX E 11TH AVE,49.2602724,-123.0784581,Mount Pleasant
183,2,12XX E 12TH AVE,49.2594212,-123.0785351,Mount Pleasant
184,1,12XX E 13TH AVE,49.2585276,-123.0784791,Mount Pleasant
185,1,12XX E 16TH AVE,49.2561366,-123.0789086,Kensington-Cedar Cottage
186,1,12XX E 17TH AVE,49.2550905,-123.0786279,Kensington-Cedar Cottage
187,1,12XX E 18TH AVE,49.2542792,-123.0786979,Kensington-Cedar Cottage
188,1,12XX E 19TH AVE,49.2532756,-123.0787643,Kensington-Cedar Cottage
189,1,12XX E 26TH AVE,49.2472862,-123.0790357,Kensington-Cedar Cottage
190,2,12XX E 27TH AVE,49.2462577,-123.0791127,Kensington-Cedar Cottage
191,1,12XX E 28TH AVE,49.2452114,-123.0791031,Kensington-Cedar Cottage
192,1,12XX E 41ST AVE,49.2325578,-123.0805872,Sunset
193,1,12XX E 57TH AVE,49.2179493,-123.0808627,Sunset
194,1,12XX E 7TH AVE,49.264015,-123.0783014,Mount Pleasant
195,2,12XX E 8TH AVE,49.2633296,-123.078128,Mount Pleasant
196,2,12XX E BROADWAY AVE,49.2623362,-123.0786133,Mount Pleasant
197,2,12XX E PENDER ST,49.2801405,-123.0781551,Strathcona
198,1,12XX FRANKLIN ST,49.282103,-123.077975,Strathcona
199,1,12XX GARDEN DR,49.2733597,-123.0576371,Grandview-Woodland
200,14,12XX GRANVILLE ST,49.2764516,-123.1267411,Central Business District
201,3,12XX HAMILTON ST,49.2741975,-123.1234391,Central Business District
202,5,12XX HARO ST,49.285771,-123.1290673,West End
203,7,12XX HARWOOD ST,49.2809275,-123.1367467,West End
204,5,12XX HOMER ST,49.2746467,-123.123904,Central Business District
205,4,12XX HORNBY ST,49.2775627,-123.1288743,Central Business District
206,8,12XX HOWE ST,49.2771422,-123.127856,Central Business District
207,6,12XX JERVIS ST,49.2823051,-123.1357021,West End
208,4,12XX JOHNSTON ST,49.2695529,-123.1319749,Fairview
209,2,12XX KINGSWAY AVE,49.2511914,-123.078824,Kensington-Cedar Cottage
210,1,12XX LE ROI ST,49.2739128,-123.0398371,Hastings-Sunrise
211,2,12XX MAIN ST,49.2719599,-123.1000004,Central Business District
212,12,12XX MARINASIDE CRES,49.2720363,-123.1207496,Central Business District
213,5,12XX MELVILLE ST,49.2883063,-123.1253224,Central Business District
214,9,12XX NELSON ST,49.2843359,-123.1314873,West End
215,6,12XX NICOLA ST,49.2838095,-123.1381972,West End
216,2,12XX PACIFIC BLVD,49.2735962,-123.122149,Central Business District
217,1,12XX PACIFIC ST,49.2796353,-123.136803,West End
218,5,12XX PENDRELL ST,49.2829388,-123.1334462,West End
219,11,12XX RICHARDS ST,49.2752506,-123.1248787,Central Business District
220,1,12XX ROBSON ST,49.2864482,-123.1280615,West End
221,1,12XX ROSSLAND ST,49.2737149,-123.0452722,Hastings-Sunrise
222,14,12XX SEYMOUR ST,49.2755932,-123.12633,Central Business District
223,3,12XX SHOREPINE WALK,49.2676768,-123.1337137,Fairview
224,1,12XX THURLOW ST,49.2799711,-123.1318166,West End
225,1,12XX VENABLES ST,49.2766745,-123.0793271,Strathcona
226,3,12XX W 10TH AVE,49.2623902,-123.1326765,Fairview
227,3,12XX W 11TH AVE,49.2614031,-123.1326148,Fairview
228,2,12XX W 12TH AVE,49.2604433,-123.1326385,Fairview
229,2,12XX W 13TH AVE,49.2595574,-123.1326967,Fairview
230,1,12XX W 14TH AVE,49.2586084,-123.1327743,Fairview
231,1,12XX W 16TH AVE,49.2571085,-123.1317587,Fairview
232,1,12XX W 26TH AVE,49.2479973,-123.1331707,Shaughnessy
233,1,12XX W 64TH AVE,49.2128274,-123.1336662,Marpole
234,1,12XX W 70TH AVE,49.2085115,-123.1331483,Marpole
235,2,12XX W 7TH AVE,49.2650759,-123.1325352,Fairview
236,2,12XX W 8TH AVE,49.2643042,-123.1327075,Fairview
237,6,12XX W BROADWAY AVE,49.2633573,-123.1323465,Fairview
238,4,12XX W CORDOVA ST,49.2892487,-123.1221311,Central Business District
239,9,12XX W GEORGIA ST,49.2875039,-123.1264893,West End
240,3,12XX W HASTINGS ST,49.2891075,-123.1241436,Central Business District
241,2,12XX W PENDER ST,49.2886459,-123.1247893,Central Business District
242,2,12XX WOODLAND DR,49.2735667,-123.0731961,Grandview-Woodland
243,1,13O W BROADWAY AVE,49.2631608,-123.1053054,Mount Pleasant
244,2,13XX ADANAC ST,49.2774633,-123.0760099,Grandview-Woodland
245,5,13XX ALBERNI ST,49.2882309,-123.128502,West End
246,49,13XX ARBUTUS ST,49.2737097,-123.1522961,Kitsilano
247,7,13XX BARCLAY ST,49.2860615,-123.131677,West End
248,4,13XX BEACH AVE,49.2810777,-123.1387363,West End
249,1,13XX BIRCH WALK,49.2684369,-123.1345192,Fairview
250,2,13XX BROUGHTON ST,49.2819552,-123.1385465,West End
251,4,13XX BURNABY ST,49.2824094,-123.1369818,West End
252,16,13XX BURRARD ST,49.2773144,-123.1314132,Central Business District
253,6,13XX BUTE ST,49.2798762,-123.1357067,West End
254,2,13XX CARDERO ST,49.2834145,-123.1409555,West End
255,32,13XX CARTWRIGHT ST,49.2699251,-123.134561,Fairview
256,1,13XX CHESS ST,49.2726008,-123.0856853,Strathcona
257,2,13XX COMMERCIAL DR,49.2723904,-123.0693985,Grandview-Woodland
258,7,13XX COMOX ST,49.2845335,-123.1335382,West End
259,4,13XX CONTINENTAL ST,49.2758425,-123.1287897,Central Business District
260,5,13XX COTTON DR,49.2723151,-123.0712382,Grandview-Woodland
261,1,13XX CYPRESS ST,49.2737972,-123.1474329,Kitsilano
262,2,13XX DAVIE ST,49.283191,-123.1358685,West End
263,1,13XX DEVONSHIRE CRES,49.2459315,-123.1357805,Shaughnessy
264,3,13XX DISCOVERY ST,49.2742873,-123.2025725,West Point Grey
265,2,13XX E 10TH AVE,49.2612232,-123.076388,Kensington-Cedar Cottage
266,1,13XX E 14TH AVE,49.2576368,-123.0776029,Kensington-Cedar Cottage
267,3,13XX E 15TH AVE,49.2564212,-123.0765954,Mount Pleasant
268,1,13XX E 18TH AVE,49.2542275,-123.0766804,Kensington-Cedar Cottage
269,2,13XX E 19TH AVE,49.2533239,-123.0770338,Kensington-Cedar Cottage
270,1,13XX E 1ST AVE,49.2696668,-123.0768225,Grandview-Woodland
271,1,13XX E 21ST AVE,49.2515306,-123.0771467,Kensington-Cedar Cottage
272,1,13XX E 23RD AVE,49.2497008,-123.0771343,Kensington-Cedar Cottage
273,1,13XX E 27TH AVE,49.2463038,-123.0772695,Kensington-Cedar Cottage
274,3,13XX E 28TH AVE,49.2452213,-123.0771775,Kensington-Cedar Cottage
275,2,13XX E 2ND AVE,49.2682537,-123.0991754,Grandview-Woodland
276,1,13XX E 49TH AVE,49.2250537,-123.0788013,Sunset
277,1,13XX E BROADWAY AVE,49.2623043,-123.0764307,Grandview-Woodland
278,1,13XX FOUNTAIN WAY,49.2672341,-123.1334983,Fairview
279,1,13XX FRANKLIN ST,49.2819861,-123.0758678,Grandview-Woodland
280,1,13XX GRANT ST,49.2713065,-123.0761686,Grandview-Woodland
281,2,13XX GRAVELEY ST,49.2703765,-123.0761689,Grandview-Woodland
282,6,13XX HARO ST,49.2867526,-123.130529,West End
283,8,13XX HARWOOD ST,49.2819575,-123.1384556,West End
284,7,13XX HOMER ST,49.2736145,-123.1253661,Central Business District
285,8,13XX HORNBY ST,49.2767067,-123.1304127,Central Business District
286,4,13XX HOWE ST,49.2756783,-123.1303862,Central Business District
287,10,13XX JERVIS ST,49.2811957,-123.137094,West End
288,15,13XX JOHNSTON ST,49.2696041,-123.1320375,Fairview
289,2,13XX LAURIER AVE,49.2505099,-123.1355744,Shaughnessy
290,12,13XX MAIN ST,49.3077943,-123.0351466,Central Business District
291,2,13XX MAPLE ST,49.2737853,-123.1498918,Kitsilano
292,1,13XX MATTHEWS AVE,49.2532975,-123.1360754,Shaughnessy
293,1,13XX NELSON ST,49.2853156,-123.1328731,West End
294,1,13XX NICOLA ST,49.2827871,-123.1395867,West End
295,1,13XX ODLUM DR,49.272464,-123.0756107,Grandview-Woodland
296,2,13XX PACIFIC BLVD,49.2721605,-123.1247061,Central Business District
297,1,13XX PARK DR,49.2965792,-123.127619,Marpole
298,1,13XX PARKER ST,49.2756307,-123.0764717,Grandview-Woodland
299,1,13XX PENDRELL ST,49.284112,-123.134943,West End
300,1,13XX PENTICTON ST,49.2718262,-123.0520589,Hastings-Sunrise
301,2,13XX RAILSPUR ALLY,49.2700701,-123.1338451,Fairview
302,9,13XX RICHARDS ST,49.2742633,-123.1263374,Central Business District
303,2,13XX ROBSON ST,49.2873621,-123.1296146,West End
304,5,13XX ROLSTON ST,49.2754321,-123.1277556,Central Business District
305,2,13XX SALSBURY DR,49.2720522,-123.0676281,Grandview-Woodland
306,4,13XX SEYMOUR ST,49.2748675,-123.1272261,Central Business District
307,1,13XX SW MARINE DR,49.2034657,-123.1368827,Marpole
308,2,13XX THURLOW ST,49.278984,-123.133329,West End
309,3,13XX W 10TH AVE,49.2623981,-123.1349838,Fairview
310,2,13XX W 11TH AVE,49.2614807,-123.1349314,Fairview
311,1,13XX W 12TH AVE,49.2606862,-123.1350991,Fairview
312,2,13XX W 13TH AVE,49.2595656,-123.1350366,Fairview
313,3,13XX W 14TH AVE,49.2586076,-123.1352033,Fairview
314,5,13XX W 15TH AVE,49.2578338,-123.1346998,Fairview
315,1,13XX W 26TH AVE,49.2480466,-123.1355802,Shaughnessy
316,3,13XX W 4TH AVE,49.2665745,-123.1353848,Fairview
317,1,13XX W 67TH AVE,49.2104722,-123.1361398,Marpole
318,2,13XX W 6TH AVE,49.2658849,-123.1352527,Fairview
319,2,13XX W 70TH AVE,49.2083406,-123.1372437,Marpole
320,2,13XX W 71ST AVE,49.2067362,-123.1360609,Marpole
321,1,13XX W 73RD AVE,49.2043571,-123.1362537,Marpole
322,4,13XX W 7TH AVE,49.2651428,-123.1350213,Fairview
323,4,13XX W 8TH AVE,49.2643009,-123.1351011,Fairview
324,9,13XX W BROADWAY AVE,49.263365,-123.1347297,Fairview
325,8,13XX W GEORGIA ST,49.2885381,-123.1278908,Central Business District
326,3,13XX W PENDER ST,49.2891747,-123.1265811,Central Business District
327,4,13XX WALNUT ST,49.2736877,-123.148592,Kitsilano
328,2,13XX WOODLAND DR,49.2723414,-123.0731944,Grandview-Woodland
329,2,14XX ADANAC ST,49.2773793,-123.0751446,Grandview-Woodland
330,2,14XX ALBERNI ST,49.2890017,-123.129775,West End
331,114,14XX ANDERSON ST,49.2699493,-123.1366337,Fairview
332,10,14XX ARBUTUS ST,49.2729771,-123.1525875,Kitsilano
333,6,14XX BARCLAY ST,49.2868498,-123.1330482,West End
334,2,14XX BEACH AVE,49.2814884,-123.1393589,West End
335,6,14XX BURNABY ST,49.2833685,-123.1384225,West End
336,1,14XX BURRARD ST,49.2767744,-123.1330042,Central Business District
337,1,14XX BUTE ST,49.2792689,-123.1367598,West End
338,35,14XX CARTWRIGHT ST,49.2703114,-123.1355214,Fairview
339,1,14XX CEDAR COTTAGE MEWS,49.2488397,-123.0749304,Kensington-Cedar Cottage
340,4,14XX CHARLES ST,49.2729275,-123.0744643,Grandview-Woodland
341,1,14XX CHESTNUT ST,49.273293,-123.1456815,Kitsilano
342,1,14XX COMMERCIAL DR,49.2715875,-123.0693712,Grandview-Woodland
343,2,14XX COTTON DR,49.2716751,-123.0712849,Grandview-Woodland
344,5,14XX CREEKSIDE DR,49.2731766,-123.1403744,Fairview
345,3,14XX CYPRESS ST,49.2725538,-123.1477894,Kitsilano
346,1,14XX DAVIE ST,49.2839854,-123.137281,West End
347,1,14XX DEVONSHIRE CRES,49.2462881,-123.1377837,Shaughnessy
348,1,14XX E 10TH AVE,49.2612418,-123.0745701,Kensington-Cedar Cottage
349,1,14XX E 11TH AVE,49.2602857,-123.0744499,Kensington-Cedar Cottage
350,1,14XX E 13TH AVE,49.2586829,-123.0738211,Kensington-Cedar Cottage
351,1,14XX E 14TH AVE,49.257787,-123.0736948,Kensington-Cedar Cottage
352,1,14XX E 19TH AVE,49.2534702,-123.0741065,Kensington-Cedar Cottage
353,3,14XX E 1ST AVE,49.2694585,-123.0741572,Grandview-Woodland
354,3,14XX E 27TH AVE,49.2462002,-123.0748287,Kensington-Cedar Cottage
355,1,14XX E 2ND AVE,49.2684565,-123.0738208,Grandview-Woodland
356,1,14XX E 30TH AVE,49.2433035,-123.0746816,Kensington-Cedar Cottage
357,1,14XX E 31ST AVE,49.2430026,-123.074443,Kensington-Cedar Cottage
358,1,14XX E 41ST AVE,49.2326555,-123.0756627,Kensington-Cedar Cottage
359,2,14XX E 4TH AVE,49.2663958,-123.0745212,Grandview-Woodland
360,1,14XX E 54TH AVE,49.2202606,-123.0764415,Victoria-Fraserview
361,6,14XX E 7TH AVE,49.2639202,-123.0741891,Grandview-Woodland
362,2,14XX E 8TH AVE,49.2631266,-123.0742938,Grandview-Woodland
363,4,14XX E HASTINGS ST,49.2811038,-123.0755709,Grandview-Woodland
364,3,14XX E KING EDWARD AVE,49.2484582,-123.0745958,Kensington-Cedar Cottage
365,1,14XX GRAVELEY ST,49.2703336,-123.0740545,Grandview-Woodland
366,2,14XX HARO ST,49.2876343,-123.132019,West End
367,2,14XX HARWOOD ST,49.2825894,-123.1393604,West End
368,3,14XX HORNBY ST,49.2758693,-123.1316788,Central Business District
369,7,14XX HOWE ST,49.2749642,-123.130918,Central Business District
370,3,14XX JOHNSTON ST,49.2696553,-123.1321,Fairview
371,1,14XX KAMLOOPS ST,49.2718492,-123.0543931,Hastings-Sunrise
372,1,14XX KINGSWAY AVE,49.2492312,-123.0744988,Kensington-Cedar Cottage
373,3,14XX KITCHENER ST,49.2720419,-123.0739635,Grandview-Woodland
374,1,14XX LABURNUM ST,49.2730097,-123.1511589,Kitsilano
375,9,14XX LAMEYS MILL RD,49.2683739,-123.1369798,Fairview
376,2,14XX MAIN ST,49.2719559,-123.1000013,Strathcona
377,1,14XX MAPLE ST,49.2728831,-123.1500274,Kitsilano
378,2,14XX MARPOLE AVE,49.2576274,-123.1374392,Fairview
379,1,14XX MCLEAN DR,49.2736185,-123.0744655,Grandview-Woodland
380,2,14XX NAPIER ST,49.2747655,-123.074645,Grandview-Woodland
381,2,14XX NELSON ST,49.2862686,-123.1342475,West End
382,5,14XX PENNYFARTHING DR,49.2726353,-123.1417771,Fairview
383,78,14XX QUEBEC ST,49.272699,-123.1016219,Mount Pleasant
384,2,14XX RICHARDS ST,49.2732805,-123.1276199,Central Business District
385,2,14XX ROBSON ST,49.2884145,-123.1311277,West End
386,1,14XX SEMLIN DR,49.2715388,-123.0635975,Grandview-Woodland
387,6,14XX STRATHMORE MEWS,49.2731326,-123.12666,Central Business District
388,1,14XX W 10TH AVE,49.2624184,-123.1369997,Fairview
389,1,14XX W 11TH AVE,49.2614948,-123.1374321,Fairview
390,1,14XX W 12TH AVE,49.2604993,-123.1374193,Fairview
391,5,14XX W 13TH AVE,49.2595982,-123.1374849,Fairview
392,4,14XX W 14TH AVE,49.2586797,-123.1371133,Fairview
393,1,14XX W 15TH AVE,49.2579887,-123.1376509,Fairview
394,1,14XX W 26TH AVE,49.2481252,-123.1377569,Shaughnessy
